Wavelength (nm),Frequency (THz),Intensity
914.45,327.8390924,127
914.5,327.8211679,130
914.56,327.799661,106
914.61,327.7817409,114
914.66,327.7638226,150
914.71,327.7459064,149
914.76,327.727992,134
914.81,327.7100797,118
914.86,327.6921693,126
914.91,327.6742609,144
914.96,327.6563544,82
915.01,327.6384499,116
915.06,327.6205473,127
915.11,327.6026467,99
915.16,327.584748,128
915.21,327.5668513,95
915.26,327.5489566,93
915.31,327.5310638,124
915.36,327.513173,131
915.41,327.4952841,120
915.46,327.4773972,130
915.51,327.4595122,115
915.56,327.4416292,146
915.61,327.4237481,146
915.66,327.405869,106
915.71,327.3879918,99
915.76,327.3701166,109
915.81,327.3522434,105
915.86,327.3343721,100
915.91,327.3165027,91
915.96,327.2986353,105
916.01,327.2807699,137
916.06,327.2629064,123
916.11,327.2450448,105
916.16,327.2271852,79
916.21,327.2093276,129
916.26,327.1914719,129
916.31,327.1736181,138
916.36,327.1557663,99
916.41,327.1379164,92
916.46,327.1200685,116
916.51,327.1022226,114
916.56,327.0843785,146
916.61,327.0665365,97
916.66,327.0486964,104
916.71,327.0308582,132
916.76,327.0130219,106
916.82,326.991621,109
916.87,326.9737891,49
916.92,326.9559591,120
916.97,326.938131,85
917.02,326.9203049,59
917.07,326.9024807,89
917.12,326.8846585,137
917.17,326.8668382,120
917.22,326.8490199,91
917.27,326.8312035,115
917.32,326.813389,75
917.37,326.7955765,99
917.42,326.7777659,103
917.47,326.7599573,53
917.52,326.7421506,129
917.57,326.7243458,79
917.62,326.706543,90
917.67,326.6887421,118
917.72,326.6709432,115
917.77,326.6531462,112
917.82,326.6353512,108
917.87,326.617558,134
917.92,326.5997669,121
917.97,326.5819776,103
918.02,326.5641903,106
918.07,326.546405,137
918.12,326.5286215,140
918.17,326.51084,100
918.22,326.4930605,101
918.27,326.4752829,133
918.32,326.4575072,129
918.37,326.4397334,120
918.42,326.4219616,107
918.47,326.4041918,99
918.52,326.3864238,114
918.57,326.3686578,107
918.62,326.3508937,141
918.67,326.3331316,123
918.72,326.3153714,109
918.77,326.2976131,95
918.82,326.2798568,110
918.87,326.2621024,140
918.92,326.2443499,94
918.97,326.2265993,90
919.02,326.2088507,109
919.07,326.1911041,99
919.12,326.1733593,135
919.17,326.1556165,90
919.22,326.1378756,104
919.27,326.1201366,98
919.32,326.1023996,83
919.37,326.0846645,109
919.42,326.0669313,81
919.47,326.0492001,92
919.52,326.0314708,140
919.57,326.0137434,96
919.62,325.9960179,103
919.67,325.9782944,92
919.72,325.9605728,106
919.77,325.9428531,102
919.82,325.9251354,118
919.87,325.9074195,85
919.92,325.8897056,121
919.97,325.8719937,117
920.02,325.8542836,90
920.07,325.8365755,133
920.12,325.8188693,119
920.17,325.801165,105
920.22,325.7834627,100
